                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45804,                0.39963,                 1.0057,                0.99344,                0.98371,                0.99048,                0.96898,                0.27761,                0.25858,                0.82975,             0.00054437,             0.00054437,             0.00054437
                     37,                 0.4366,                0.38564,                0.99583,                0.99347,                0.98447,                0.99107,                0.97208,                0.27075,                0.25017,                0.82616,             0.00053612,             0.00053612,             0.00053612
                     38,                0.44716,                0.38835,                 1.0029,                0.99367,                0.98417,                0.99016,                0.96494,                 0.2927,                0.26087,                 0.8318,             0.00052787,             0.00052787,             0.00052787
                     39,                0.43622,                0.37499,                0.99115,                0.99262,                0.98473,                 0.9911,                 0.9722,                0.25928,                0.24391,                0.82431,             0.00051963,             0.00051963,             0.00051963
                     40,                0.44042,                0.38953,                0.99952,                0.99513,                0.98672,                0.99221,                0.97289,                0.25743,                0.23852,                0.81682,             0.00051138,             0.00051138,             0.00051138
                     41,                 0.4316,                0.38167,                0.99334,                   0.99,                0.98452,                 0.9916,                0.97357,                0.26055,                0.24343,                0.81874,             0.00050313,             0.00050313,             0.00050313
                     42,                0.43672,                 0.3835,                 0.9973,                0.99096,                0.98495,                0.99129,                0.97538,                0.24716,                0.23179,                0.82004,             0.00049489,             0.00049489,             0.00049489
                     43,                0.41625,                0.36667,                0.98147,                0.99273,                0.98511,                0.99118,                 0.9729,                0.25716,                0.24092,                0.81888,             0.00048664,             0.00048664,             0.00048664
                     44,                0.41718,                 0.3695,                0.98158,                0.99464,                0.98619,                0.99217,                0.97554,                0.24165,                0.22535,                 0.8103,             0.00047839,             0.00047839,             0.00047839
                     45,                0.41178,                0.36354,                0.97831,                0.99238,                0.98543,                0.99219,                0.97635,                0.23626,                0.22525,                0.80911,             0.00047015,             0.00047015,             0.00047015
                     46,                0.41368,                 0.3592,                0.97913,                 0.9967,                0.98536,                0.99277,                0.97612,                0.23542,                0.21989,                0.80816,              0.0004619,              0.0004619,              0.0004619
